Citations,Means,Papers,STD,Schools,Variance
736145.0,14.45916483343809,50912,38.6262127096301,Harvard,6.214999011233236
217868.0,11.741740770681757,18555,27.017457375921474,Yale,5.197831988042849
249943.0,12.614464520036337,19814,28.528158969117282,Stanford,5.341175803988976
1184.0,4.872427983539095,243,11.497547648252056,Brown,3.390803392745155
357401.0,7.433155858741317,48082,16.94914037118858,Columbia,4.1169333697776285
134837.0,8.521043983822043,15824,17.8224251787994,Cornell,4.221661423989304
48973.0,9.283981042654029,5275,24.379754620096282,Dartmouth,4.937585910148428
54526.0,11.385675506368761,4789,25.75810931974046,Princeton,5.075244754663608
76258.0,8.439353696325808,9036,18.607998554559387,UPENN,4.313698941112997
